name,arm,total_ret,maxdd,n,Er,pos,reentry,halt,sizing
topk_ow_p25,day_lock,14.713,-0.2244,261,0.0934,0.25,only_win,,topk
conc_cd_p25,day_lock,21.43,-0.516,345,0.0565,0.25,cooldown_only,,concurrent
conc_ow_p25,day_lock,68.494,-0.3313,240,0.0963,0.25,only_win,,concurrent
conc_ow_p20,day_lock,40.26,-0.2716,249,0.0998,0.2,only_win,,concurrent
conc_ow_p15,day_lock,14.677,-0.2309,259,0.0926,0.15,only_win,,concurrent
conc_ow_p25_h2,day_lock,20.22,-0.4993,197,0.0881,0.25,only_win,2.0,concurrent
conc_ow_p20_h2,day_lock,14.807,-0.4211,205,0.0935,0.2,only_win,2.0,concurrent
conc_ow_p25_c03,day_lock,43.049,-0.3313,222,0.0921,0.25,only_win,,concurrent
conc_cd_p15,day_lock,13.008,-0.2836,402,0.0634,0.15,cooldown_only,,concurrent
conc_cd_p15_h2,day_lock,8.303,-0.3286,340,0.0637,0.15,cooldown_only,2.0,concurrent
conc_ow_p15_h2,day_lock,6.608,-0.3326,213,0.0856,0.15,only_win,2.0,concurrent
lad_topk_ow_p25,open_ladder,7.181,-0.2564,267,0.072,0.25,only_win,,topk
lad_conc_ow_p25,open_ladder,14.273,-0.5789,240,0.0681,0.25,only_win,,concurrent
lad_conc_ow_p20,open_ladder,9.939,-0.4192,254,0.0679,0.2,only_win,,concurrent
lad_conc_ow_p15,open_ladder,7.141,-0.3269,264,0.0724,0.15,only_win,,concurrent
lad_conc_ow_p20_h2,open_ladder,4.975,-0.495,217,0.0629,0.2,only_win,2.0,concurrent
lad_conc_ow_p15_h2,open_ladder,3.195,-0.3954,219,0.0623,0.15,only_win,2.0,concurrent
lad_conc_cd_p15_h2,open_ladder,5.68,-0.5362,329,0.055,0.15,cooldown_only,2.0,concurrent
lad_conc_cd_p15,open_ladder,7.504,-0.5003,392,0.0525,0.15,cooldown_only,,concurrent
lad_ow_p25_postloss_half_approx,open_ladder,2.191,-0.6141,240,0.0681,0.25,only_win+loss_half,,concurrent
day_ow_p25_postloss_half_approx,day_lock,14.748,-0.313,240,0.0963,0.25,only_win+loss_half,,concurrent
lad_ow_p20_postloss_half_approx,open_ladder,1.767,-0.5165,240,0.0681,0.2,only_win+loss_half,,concurrent
day_ow_p20_postloss_half_approx,day_lock,8.907,-0.2554,240,0.0963,0.2,only_win+loss_half,,concurrent
