name,scheme,hold_minutes,exit_mode,tp_mult,sl_mult,vol_z_min,reentry_mode,total_ret,maxdd,n_trades,trade_win,trade_exp,end_equity
prod_m5c_mf_flip,m5_circuit,30,mf_flip,1.6,0.4,1.0,only_win,0.4982441530648163,-0.5170941985640778,207,0.3671497584541063,0.02232255972201836,149.82441530648163
single_mf_flip,single,30,mf_flip,1.6,0.4,1.0,only_win,0.5359687738527272,-0.5003165611349638,134,0.373134328358209,0.03312588028539474,153.59687738527273
single_t30_rails,single,30,none,1.6,0.4,1.0,only_win,8.635680144510655,-0.2856372389084858,134,0.5522388059701493,0.11426645990010455,963.5680144510656
single_t60_rails,single,60,none,1.6,0.4,1.0,only_win,5.540328010835672,-0.5777602434155926,134,0.5373134328358209,0.09962826610805359,654.0328010835672
single_t30_norails,single,30,none,999.0,0.0,1.0,only_win,6.162441468165786,-0.4260068315340102,134,0.5298507462686567,0.11384749696815959,716.2441468165787
single_t60_norails,single,60,none,999.0,0.0,1.0,only_win,7.088229300356778,-0.6184482905736317,134,0.5074626865671642,0.11586052574497996,808.8229300356777
m5c_onlywin_t30_rails,m5_circuit,30,none,1.6,0.4,1.0,only_win,4.346071384973331,-0.4777231909375568,242,0.5041322314049587,0.05454880741801089,534.607138497333
m5c_onlywin_t30_norails,m5_circuit,30,none,999.0,0.0,1.0,only_win,0.7887740013615991,-0.7213496557720401,231,0.47619047619047616,0.03255391901318626,178.8774001361599
m5c_allreenter_t30_norails,m5_circuit,30,none,999.0,0.0,1.0,always,0.10109488637859343,-0.8208437973753925,326,0.4325153374233129,0.016749571533786832,110.10948863785934
single_t30_norails_volz20,single,30,none,999.0,0.0,2.0,only_win,1.2397962887556382,-0.48794447025532695,116,0.46551724137931033,0.047191851338683026,223.9796288755638
