date,symbol,dir,moneyness,ticker,day_lock_ticker,contract_source,quote_source,sig_spot,sig_strike,sig_dte,sig_ts,feature_ts,n_in_day,entry,exit,ret,reason,entry_ts,exit_ts,size_frac,n_concurrent,position_sizing,size_reason,regime_qqq_fp,regime_vix_rev,regime_vixy_z,peer_align_n
2026-05-01,TSLA,UP,ATM,TSLA260501C00390000,,open_ladder,1s,390.18,390.0,0,2026-05-01 10:57:00-04:00,2026-05-01 10:56:00-04:00,1,2.358,3.86,0.6369804919423239,TP,2026-05-01 10:57:00-04:00,2026-05-01 11:10:04-04:00,0.2,1,concurrent,solo_full,0.007202911112439647,3.0,0.3326405730698789,3
2026-05-01,AAPL,UP,ATM,AAPL260501C00285000,,open_ladder,1s,284.79,285.0,0,2026-05-01 11:43:00-04:00,2026-05-01 11:42:00-04:00,1,0.9319999999999999,0.524,-0.4377682403433476,T+30,2026-05-01 11:43:00-04:00,2026-05-01 12:13:00-04:00,0.2,1,concurrent,solo_full,0.00932512403610497,2.0,0.9606358673075029,4
2026-05-04,AMZN,UP,ATM,AMZN260504C00275000,,open_ladder,1s,274.545,275.0,0,2026-05-04 10:39:00-04:00,2026-05-04 10:38:00-04:00,1,1.084,1.782,0.643911439114391,TP,2026-05-04 10:39:00-04:00,2026-05-04 10:42:39-04:00,0.2,1,concurrent,solo_full,0.002655156046042606,1.0,-0.32900857336631223,6
2026-05-05,AAPL,UP,ATM,AAPL260506C00282500,,open_ladder,1s,282.43,282.5,1,2026-05-05 13:05:00-04:00,2026-05-05 13:04:00-04:00,1,1.834,2.966,0.6172300981461287,TP,2026-05-05 13:05:00-04:00,2026-05-05 13:20:02-04:00,0.2,1,concurrent,solo_full,0.012617405778147628,0.0,-0.9944012607241843,4
2026-05-06,NVDA,UP,ATM,NVDA260506C00205000,,open_ladder,1s,205.27,205.0,0,2026-05-06 10:41:00-04:00,2026-05-06 10:40:00-04:00,1,1.426,0.952,-0.332398316970547,T+30,2026-05-06 10:41:00-04:00,2026-05-06 11:11:00-04:00,0.2,1,concurrent,solo_full,0.013689786216307454,3.0,-0.5024838253253331,5
2026-05-07,MSFT,UP,ATM,MSFT260508C00425000,,open_ladder,1s,425.02,425.0,1,2026-05-07 10:52:00-04:00,2026-05-07 10:51:00-04:00,1,3.62,3.75,0.035911602209944826,T+30,2026-05-07 10:52:00-04:00,2026-05-07 11:22:02-04:00,0.2,1,concurrent,solo_full,0.006692304927577775,0.0,-0.06944474635289115,3
2026-05-08,TSLA,UP,ATM,TSLA260508C00427500,,open_ladder,1s,426.3201,427.5,0,2026-05-08 10:51:00-04:00,2026-05-08 10:50:00-04:00,1,2.294,3.72,0.6216216216216217,TP,2026-05-08 10:51:00-04:00,2026-05-08 11:02:42-04:00,0.2,1,concurrent,solo_full,0.01633258025988238,2.0,1.236576202345524,4
2026-05-11,TSLA,DN,ATM,TSLA260511P00417500,,open_ladder,1s,417.17,417.5,0,2026-05-11 10:33:00-04:00,2026-05-11 10:32:00-04:00,1,2.59,1.014,-0.6084942084942084,SL,2026-05-11 10:33:00-04:00,2026-05-11 10:50:21-04:00,0.2,1,concurrent,solo_full,-0.0018926748323044862,1.0,0.30175592480226104,7
2026-05-11,NVDA,UP,ATM,NVDA260511C00220000,,open_ladder,1s,219.67,220.0,0,2026-05-11 10:47:00-04:00,2026-05-11 10:46:00-04:00,1,1.086,1.738,0.60036832412523,TP,2026-05-11 10:47:00-04:00,2026-05-11 10:51:03-04:00,0.1,2,concurrent,split_cap,0.001096876713869932,1.0,-0.4981958986332674,6
2026-05-12,TSLA,DN,ATM,TSLA260513P00432500,,open_ladder,1s,431.56,432.5,1,2026-05-12 10:58:00-04:00,2026-05-12 10:57:00-04:00,1,7.13,8.57,0.20196353436185133,T+45,2026-05-12 10:58:00-04:00,2026-05-12 11:43:01-04:00,0.2,1,concurrent,solo_full,-0.013737559225097451,2.0,1.308956260206219,6
2026-05-13,NVDA,UP,ATM,NVDA260513C00225000,,open_ladder,1s,225.48,225.0,0,2026-05-13 10:52:00-04:00,2026-05-13 10:51:00-04:00,1,1.686,2.772,0.6441281138790036,TP,2026-05-13 10:52:00-04:00,2026-05-13 11:07:03-04:00,0.2,1,concurrent,solo_full,0.0034643175294466477,0.0,-0.6762532005454793,6
2026-05-14,NVDA,UP,ATM,NVDA260515C00235000,,open_ladder,1s,235.15,235.0,1,2026-05-14 10:41:00-04:00,2026-05-14 10:40:00-04:00,1,3.33,3.01,-0.09609609609609615,T+30,2026-05-14 10:41:00-04:00,2026-05-14 11:11:00-04:00,0.2,1,concurrent,solo_full,0.007082172799417696,0.0,-0.3772973343597525,5
2026-05-15,TSLA,DN,ATM,TSLA260515P00427500,,open_ladder,1s,426.8771,427.5,0,2026-05-15 10:31:00-04:00,2026-05-15 10:30:00-04:00,1,3.52,3.52,0.0,T+45,2026-05-15 10:31:00-04:00,2026-05-15 11:16:00-04:00,0.2,1,concurrent,solo_full,-0.012254595473302543,4.0,-1.1186103023844007,6
2026-05-18,TSLA,DN,ATM,TSLA260518P00412500,,open_ladder,1s,413.365,412.5,0,2026-05-18 10:31:00-04:00,2026-05-18 10:30:00-04:00,1,2.318,3.72,0.6048317515099224,TP,2026-05-18 10:31:00-04:00,2026-05-18 10:34:43-04:00,0.2,1,concurrent,solo_full,-0.0034137395965579964,3.0,-1.1732843948391691,6
2026-05-19,GOOGL,DN,ATM,GOOGL260520P00387500,,open_ladder,1s,388.63,387.5,1,2026-05-19 10:53:00-04:00,2026-05-19 10:52:00-04:00,1,4.63,4.62,-0.002159827213822796,T+30,2026-05-19 10:53:00-04:00,2026-05-19 11:23:07-04:00,0.2,1,concurrent,solo_full,-0.011959586799110244,6.0,-0.36824746201312125,5
2026-05-20,AMD,UP,ATM,AMD260522C00440000,,open_ladder,1s,445.21,440.0,2,2026-05-20 10:31:00-04:00,2026-05-20 10:30:00-04:00,1,15.81,15.08,-0.04617330803289055,T+30,2026-05-20 10:31:00-04:00,2026-05-20 11:01:03-04:00,0.2,1,concurrent,solo_full,0.011154032556946136,5.0,-1.7055264768946652,6
2026-05-20,NVDA,UP,ATM,NVDA260522C00225000,,open_ladder,1s,225.61,225.0,2,2026-05-20 11:16:00-04:00,2026-05-20 11:15:00-04:00,1,6.97,6.62,-0.050215208034433245,T+30,2026-05-20 11:16:00-04:00,2026-05-20 11:46:00-04:00,0.2,1,concurrent,solo_full,0.014496678735353763,3.0,-0.6945582518374206,6
2026-05-21,NVDA,DN,ATM,NVDA260522P00217500,,open_ladder,1s,218.2775,217.5,1,2026-05-21 10:35:00-04:00,2026-05-21 10:34:00-04:00,1,2.784,1.886,-0.32255747126436785,T+30,2026-05-21 10:35:00-04:00,2026-05-21 11:05:00-04:00,0.2,1,concurrent,solo_full,-0.006479027304472251,6.0,-0.8337998296245562,4
2026-05-21,AMD,DN,ATM,AMD260522P00435000,,open_ladder,1s,434.4,435.0,1,2026-05-21 11:07:00-04:00,2026-05-21 11:06:00-04:00,1,7.41,5.36,-0.27665317139001344,T+30,2026-05-21 11:07:01-04:00,2026-05-21 11:37:08-04:00,0.2,1,concurrent,solo_full,-0.007138149129819027,2.0,-1.2642498165757852,4
2026-05-22,TSLA,UP,ATM,TSLA260522C00427500,,open_ladder,1s,426.77,427.5,0,2026-05-22 10:39:00-04:00,2026-05-22 10:38:00-04:00,1,2.144,3.46,0.6138059701492535,TP,2026-05-22 10:39:00-04:00,2026-05-22 10:48:41-04:00,0.2,1,concurrent,solo_full,0.006144586745048697,0.0,-2.098985798641137,7
2026-05-27,AMD,DN,ATM,AMD260529P00495000,,open_ladder,1s,488.7301,495.0,2,2026-05-27 10:31:00-04:00,2026-05-27 10:30:00-04:00,1,16.67,15.07,-0.09598080383923224,T+30,2026-05-27 10:31:02-04:00,2026-05-27 11:01:02-04:00,0.2,1,concurrent,solo_full,-0.004834225770668832,1.0,0.42491458102624124,5
