date,symbol,dir,moneyness,ticker,sig_ts,n_in_day,entry,exit,ret,reason,entry_ts,exit_ts,regime_qqq_fp,regime_vix_rev,regime_vixy_z
2026-01-02,TSLA,DN,ATM,TSLA260102P00440000,2026-01-02 10:53:00-05:00,1,0.974,1.596,0.6386036960985628,TP,2026-01-02 10:53:00-05:00,2026-01-02 11:00:09-05:00,-0.008289359094281079,6.0,0.8377548175789832
2026-01-02,MSFT,DN,ATM,MSFT260102P00472500,2026-01-02 10:56:00-05:00,1,0.612,1.01,0.650326797385621,TP,2026-01-02 10:56:01-05:00,2026-01-02 10:57:35-05:00,-0.009176531303422109,5.0,0.8066015317766398
2026-01-02,TSLA,DN,ATM,TSLA260102P00440000,2026-01-02 11:51:00-05:00,2,1.148,0.886,-0.22822299651567934,T+30,2026-01-02 11:51:00-05:00,2026-01-02 12:21:00-05:00,-0.01390188046318086,1.0,1.2451059406062144
2026-01-02,MSFT,DN,ATM,MSFT260102P00472500,2026-01-02 12:51:00-05:00,2,1.1199999999999999,1.07,-0.044642857142856984,T+30,2026-01-02 12:51:02-05:00,2026-01-02 13:21:00-05:00,-0.013434183788665455,3.0,0.7566142060515453
2026-01-07,MSFT,UP,ATM,MSFT260109C00490000,2026-01-07 13:23:00-05:00,1,2.6,2.51,-0.034615384615384714,T+30,2026-01-07 13:23:01-05:00,2026-01-07 13:53:06-05:00,0.005116525253821225,1.0,0.4564137061048817
2026-01-08,AMD,DN,ATM,AMD260109P00205000,2026-01-08 10:40:00-05:00,1,2.166,2.5060000000000002,0.15697137580794096,T+30,2026-01-08 10:40:00-05:00,2026-01-08 11:10:00-05:00,-0.006065121943402807,2.0,-1.28343219116175
2026-01-08,NVDA,DN,ATM,NVDA260109P00185000,2026-01-08 10:55:00-05:00,1,1.566,1.712,0.09323116219667948,T+30,2026-01-08 10:55:00-05:00,2026-01-08 11:25:00-05:00,-0.007899881421658095,0.0,-0.45152872844325204
2026-01-08,NVDA,DN,ATM,NVDA260109P00185000,2026-01-08 12:07:00-05:00,2,2.066,2.072,0.0029041626331076653,T+30,2026-01-08 12:07:00-05:00,2026-01-08 12:37:00-05:00,-0.007210845111046971,1.0,-0.8590120352706194
2026-01-08,NVDA,DN,ATM,NVDA260109P00185000,2026-01-08 13:05:00-05:00,3,1.896,1.862,-0.01793248945147674,T+30,2026-01-08 13:05:00-05:00,2026-01-08 13:35:00-05:00,-0.0066660257026567304,0.0,1.643466885967428
2026-01-08,AMD,DN,ATM,AMD260109P00205000,2026-01-08 13:40:00-05:00,2,2.418,2.7199999999999998,0.12489660876757624,T+30,2026-01-08 13:40:01-05:00,2026-01-08 14:10:00-05:00,-0.00682626670512454,0.0,1.5081549469686062
2026-01-09,TSLA,UP,ATM,TSLA260109C00445000,2026-01-09 11:56:00-05:00,1,1.244,1.336,0.07395498392282973,T+30,2026-01-09 11:56:00-05:00,2026-01-09 12:26:02-05:00,0.009437003368631514,0.0,-2.3408387765018155
2026-01-09,TSLA,UP,ATM,TSLA260109C00445000,2026-01-09 12:47:00-05:00,2,1.934,3.11,0.608066184074457,TP,2026-01-09 12:47:00-05:00,2026-01-09 12:56:17-05:00,0.00965459439421057,0.0,0.37034953153866246
2026-01-09,TSLA,UP,ATM,TSLA260109C00445000,2026-01-09 13:06:00-05:00,3,3.53,3.02,-0.14447592067988668,T+30,2026-01-09 13:06:00-05:00,2026-01-09 13:36:00-05:00,0.009396708734265014,0.0,-0.3290913016118419
2026-01-14,TSLA,DN,ATM,TSLA260116P00437500,2026-01-14 10:43:00-05:00,1,5.38,5.92,0.1003717472118959,T+30,2026-01-14 10:43:00-05:00,2026-01-14 11:13:00-05:00,-0.01326290067557856,6.0,1.1729861003136912
2026-01-14,META,DN,ATM,META260116P00630000,2026-01-14 10:50:00-05:00,1,13.83,11.68,-0.15545914678235717,T+30,2026-01-14 10:50:00-05:00,2026-01-14 11:20:03-05:00,-0.016003066455847814,4.0,0.9717114239353104
