rule,n,n_miss,mean_ret,sum_ret,win_rate,p50,same_day_ticker_rate
speed_H15,267,0,0.07866312154916286,21.00305345362648,0.5093632958801498,0.014002333722286986,0.5280898876404494
alpha_0.5_speed_H5,267,0,0.07852701844779596,20.96671392556152,0.5093632958801498,0.014002333722286986,0.2958801498127341
alpha_0.25_speed_H10,267,0,0.07741561169547755,20.669968322692505,0.5056179775280899,0.014002333722286986,0.36329588014981273
speed_H10,267,0,0.07711612896394437,20.590006433373148,0.5168539325842697,0.014002333722286986,0.6479400749063671
speed_H20,267,0,0.07710177154361776,20.58617300214594,0.5056179775280899,0.0035460992907803135,0.49063670411985016
alpha_0.5_speed_H10,267,0,0.0748940002855468,19.996698076240996,0.5056179775280899,0.008064516129032251,0.2846441947565543
nearest_spot,267,0,0.07476527114656713,19.96232739613342,0.5243445692883895,0.02652519893899208,0.9962546816479401
alpha_0.0,267,0,0.07476527114656713,19.96232739613342,0.5243445692883895,0.02652519893899208,0.9962546816479401
alpha_0.5,267,0,0.07450329796650135,19.89238055705586,0.5093632958801498,0.014002333722286986,0.3258426966292135
alpha_0.25_speed_H5,267,0,0.07391719707945836,19.735891620215384,0.5056179775280899,0.014002333722286986,0.4307116104868914
speed_H5,267,0,0.07208506156001161,19.2467114365231,0.5131086142322098,0.010060362173037962,0.7827715355805244
day_lock_ticker,267,0,0.07204474725309877,19.235947516577372,0.5205992509363296,0.017892644135188762,1.0
alpha_0.25,267,0,0.06997269985526575,18.682710861355954,0.50187265917603,0.002338269680436378,0.5543071161048689
alpha_0.75,267,0,0.06725621248597005,17.957408733754004,0.49812734082397003,-0.003875968992248069,0.2808988764044944
speed_H30,267,0,0.06517371482044391,17.401381857058524,0.49812734082397003,-0.003875968992248069,0.3970037453183521
alpha_1.0,267,0,0.05109980285116673,13.643647361261516,0.49063670411985016,-0.016304347826086918,0.26217228464419473
alpha_1.25,265,2,0.05000563545911257,13.25149339666483,0.4830188679245283,-0.02035928143712573,0.2546816479400749
alpha_1.5,264,3,0.04794511109491253,12.657509329056907,0.4772727272727273,-0.0238766457317392,0.2397003745318352
alpha_2.0,262,5,0.03433659259336527,8.996187259461701,0.4580152671755725,-0.03795429546321866,0.23595505617977527
