ts,date,symbol,contract,side,action,limit_px,fill_px,bid,ask,fill_spread_frac,model_frac,rank,direction,reason,mode,source,meta_qty,meta_ret
2026-05-06T10:30:00-04:00,2026-05-06,MSFT,MSFT260506C00412500,BUY,OPEN,4.27,4.27,4.15,4.3,0.7999999999999976,0.8,1,UP,ENTRY,MAG7_SHADOW,maga7_mf10_top2,1,
2026-05-06T11:00:00-04:00,2026-05-06,MSFT,MSFT260506C00412500,SELL,CLOSE,3.09,3.09,3.05,3.25,0.8,0.8,1,UP,T+30,MAG7_SHADOW,maga7_mf10_top2,1,-0.27634660421545665
2026-05-06T10:40:00-04:00,2026-05-06,NVDA,NVDA260506C00207500,BUY,OPEN,0.408,0.408,0.4,0.41,0.7999999999999989,0.8,2,UP,ENTRY,MAG7_SHADOW,maga7_mf10_top2,1,
2026-05-06T11:10:00-04:00,2026-05-06,NVDA,NVDA260506C00207500,SELL,CLOSE,0.242,0.242,0.24,0.25,0.8,0.8,2,UP,T+30,MAG7_SHADOW,maga7_mf10_top2,1,-0.4068627450980392
2026-05-07T10:36:00-04:00,2026-05-07,TSLA,TSLA260508C00415000,BUY,OPEN,4.09,4.09,4.05,4.1,0.8000000000000036,0.8,1,UP,ENTRY,MAG7_SHADOW,maga7_mf10_top2,1,
2026-05-07T11:06:00-04:00,2026-05-07,TSLA,TSLA260508C00415000,SELL,CLOSE,3.02,3.02,3.0,3.1,0.8,0.8,1,UP,T+30,MAG7_SHADOW,maga7_mf10_top2,1,-0.26161369193154027
2026-05-07T10:51:00-04:00,2026-05-07,MSFT,MSFT260508C00425000,BUY,OPEN,3.62,3.62,3.5,3.65,0.8000000000000012,0.8,2,UP,ENTRY,MAG7_SHADOW,maga7_mf10_top2,1,
2026-05-07T11:21:01-04:00,2026-05-07,MSFT,MSFT260508C00425000,SELL,CLOSE,4.22,4.22,4.2,4.3,0.8000000000000036,0.8,2,UP,T+30,MAG7_SHADOW,maga7_mf10_top2,1,0.16574585635359096
2026-05-08T10:30:00-04:00,2026-05-08,AAPL,AAPL260508C00292500,BUY,OPEN,1.85,1.85,1.81,1.86,0.8,0.8,1,UP,ENTRY,MAG7_SHADOW,maga7_mf10_top2,1,
2026-05-08T11:00:01-04:00,2026-05-08,AAPL,AAPL260508C00292500,SELL,CLOSE,1.586,1.586,1.57,1.65,0.7999999999999995,0.8,1,UP,T+30,MAG7_SHADOW,maga7_mf10_top2,1,-0.1427027027027027
2026-05-08T10:50:00-04:00,2026-05-08,TSLA,TSLA260508C00425000,BUY,OPEN,3.24,3.24,3.2,3.25,0.8000000000000036,0.8,2,UP,ENTRY,MAG7_SHADOW,maga7_mf10_top2,1,
2026-05-08T10:57:02-04:00,2026-05-08,TSLA,TSLA260508C00425000,SELL,CLOSE,5.22,5.22,5.2,5.3,0.8000000000000036,0.8,2,UP,TP,MAG7_SHADOW,maga7_mf10_top2,1,0.6111111111111109
