date,symbol,dir,moneyness,ticker,day_lock_ticker,contract_source,quote_source,sig_spot,sig_strike,sig_dte,sig_ts,n_in_day,entry,exit,ret,reason,entry_ts,exit_ts,size_frac,n_concurrent,position_sizing,size_reason,regime_qqq_fp,regime_vix_rev,regime_vixy_z
2026-01-02,AMZN,DN,ATM,AMZN260102P00232500,,open_lock,1s,226.42,232.5,0,2026-01-02 10:52:00-05:00,1,5.89,7.04,0.19524617996604432,T+30,2026-01-02 10:52:00-05:00,2026-01-02 11:22:08-05:00,0.25,1,concurrent,solo_full,-0.0091442763603522,5.0,1.2191360807848761
2026-01-02,MSFT,DN,ATM,MSFT260102P00485000,,open_lock,1s,474.64,485.0,0,2026-01-02 10:56:00-05:00,1,10.27,11.57,0.12658227848101267,T+30,2026-01-02 10:56:01-05:00,2026-01-02 11:26:06-05:00,0.125,2,concurrent,split_cap,-0.009176531303422109,5.0,0.8066015317766398
2026-01-02,MSFT,DN,ATM,MSFT260102P00485000,,open_lock,1s,472.3775,485.0,0,2026-01-02 12:48:00-05:00,2,12.41,12.77,0.029008863819500297,T+30,2026-01-02 12:48:00-05:00,2026-01-02 13:18:05-05:00,0.25,1,concurrent,solo_full,-0.013418056317130445,3.0,0.20555917728929546
2026-01-02,MSFT,DN,ATM,MSFT260102P00485000,,open_lock,1s,471.5315,485.0,0,2026-01-02 13:32:00-05:00,3,13.31,14.25,0.07062359128474838,T+30,2026-01-02 13:32:01-05:00,2026-01-02 14:02:00-05:00,0.25,1,concurrent,solo_full,-0.013950262877786002,3.0,0.3712570711005046
2026-01-07,MSFT,UP,ATM,MSFT260109C00480000,,open_lock,1s,488.54,480.0,2,2026-01-07 12:15:00-05:00,1,9.61,9.75,0.014568158168574374,T+30,2026-01-07 12:15:04-05:00,2026-01-07 12:45:00-05:00,0.25,1,concurrent,solo_full,0.006287231141835159,0.0,-0.1704646303954792
2026-01-07,MSFT,UP,ATM,MSFT260109C00480000,,open_lock,1s,488.37,480.0,2,2026-01-07 13:23:00-05:00,2,9.43,9.1,-0.03499469777306474,T+30,2026-01-07 13:23:00-05:00,2026-01-07 13:53:06-05:00,0.25,1,concurrent,solo_full,0.005116525253821225,1.0,0.4564137061048817
2026-01-08,AMD,DN,ATM,AMD260109P00210000,,open_lock,1s,205.645,210.0,1,2026-01-08 10:40:00-05:00,1,5.26,5.84,0.11026615969581743,T+30,2026-01-08 10:40:02-05:00,2026-01-08 11:10:00-05:00,0.25,1,concurrent,solo_full,-0.006065121943402807,2.0,-1.28343219116175
2026-01-08,NVDA,DN,ATM,NVDA260109P00190000,,open_lock,1s,185.18,190.0,1,2026-01-08 11:00:00-05:00,1,4.819999999999999,5.32,0.1037344398340252,T+30,2026-01-08 11:00:00-05:00,2026-01-08 11:30:00-05:00,0.125,2,concurrent,split_cap,-0.005832772489824722,1.0,-1.695183503455676
2026-01-08,AMD,DN,ATM,AMD260109P00210000,,open_lock,1s,204.1579,210.0,1,2026-01-08 11:15:00-05:00,2,6.31,6.09,-0.03486529318541998,T+30,2026-01-08 11:15:00-05:00,2026-01-08 11:45:01-05:00,0.125,2,concurrent,split_cap,-0.007771688619683914,1.0,-0.18912422469270787
2026-01-08,NVDA,DN,ATM,NVDA260109P00190000,,open_lock,1s,184.7,190.0,1,2026-01-08 12:00:00-05:00,2,5.38,5.82,0.08178438661710041,T+30,2026-01-08 12:00:00-05:00,2026-01-08 12:30:01-05:00,0.25,1,concurrent,solo_full,-0.006633977502163213,2.0,-0.42901889562072093
2026-01-08,NVDA,DN,ATM,NVDA260109P00190000,,open_lock,1s,184.11,190.0,1,2026-01-08 12:39:00-05:00,3,6.23,5.67,-0.08988764044943831,T+30,2026-01-08 12:39:00-05:00,2026-01-08 13:09:00-05:00,0.25,1,concurrent,solo_full,-0.006425664198955183,0.0,-1.0642147207584207
2026-01-08,AMD,DN,ATM,AMD260109P00210000,,open_lock,1s,204.29,210.0,1,2026-01-08 13:11:00-05:00,3,6.22,5.930000000000001,-0.04662379421221852,T+30,2026-01-08 13:11:00-05:00,2026-01-08 13:41:01-05:00,0.25,1,concurrent,solo_full,-0.007387110213761372,0.0,2.6967234112996286
2026-01-08,NVDA,DN,ATM,NVDA260109P00190000,,open_lock,1s,184.14,190.0,1,2026-01-08 14:00:00-05:00,4,5.93,5.92,-0.001686340640809414,T+30,2026-01-08 14:00:00-05:00,2026-01-08 14:30:01-05:00,0.25,1,concurrent,solo_full,-0.00780389706118001,0.0,2.7631732024064095
2026-01-09,TSLA,UP,ATM,TSLA260109C00435000,,open_lock,1s,444.62,435.0,0,2026-01-09 11:56:00-05:00,1,9.16,9.74,0.06331877729257651,T+30,2026-01-09 11:56:00-05:00,2026-01-09 12:26:00-05:00,0.25,1,concurrent,solo_full,0.009437003368631514,0.0,-2.3408387765018155
2026-01-09,TSLA,UP,ATM,TSLA260109C00435000,,open_lock,1s,444.9586,435.0,0,2026-01-09 12:33:00-05:00,2,9.57,12.600000000000001,0.31661442006269613,T+30,2026-01-09 12:33:01-05:00,2026-01-09 13:03:00-05:00,0.25,1,concurrent,solo_full,0.009525651564237902,0.0,0.060179576218796146
2026-01-09,TSLA,UP,ATM,TSLA260109C00435000,,open_lock,1s,448.58,435.0,0,2026-01-09 13:11:00-05:00,3,13.61,12.629999999999999,-0.07200587803085967,T+30,2026-01-09 13:11:00-05:00,2026-01-09 13:41:00-05:00,0.25,1,concurrent,solo_full,0.008510226778202457,0.0,-0.5848286456802667
2026-01-14,TSLA,DN,ATM,TSLA260116P00442500,,open_lock,1s,437.515,442.5,2,2026-01-14 10:43:00-05:00,1,8.020000000000001,8.77,0.0935162094763089,T+30,2026-01-14 10:43:00-05:00,2026-01-14 11:13:01-05:00,0.25,1,concurrent,solo_full,-0.01326290067557856,6.0,1.1729861003136912
2026-01-14,META,DN,ATM,META260116P00627500,,open_lock,1s,618.2599,627.5,2,2026-01-14 10:50:00-05:00,1,11.899999999999999,9.93,-0.16554621848739492,T+30,2026-01-14 10:50:00-05:00,2026-01-14 11:20:00-05:00,0.125,2,concurrent,split_cap,-0.016003066455847814,4.0,0.9717114239353104
2026-01-14,TSLA,DN,ATM,TSLA260116P00442500,,open_lock,1s,436.1199,442.5,2,2026-01-14 11:45:00-05:00,2,9.22,9.469999999999999,0.027114967462038786,T+30,2026-01-14 11:45:00-05:00,2026-01-14 12:15:00-05:00,0.25,1,concurrent,solo_full,-0.015284365866513383,1.0,0.5124478253718064
2026-01-14,META,DN,ATM,META260116P00627500,,open_lock,1s,618.07,627.5,2,2026-01-14 11:51:00-05:00,2,11.32,12.79,0.12985865724381607,T+30,2026-01-14 11:51:02-05:00,2026-01-14 12:21:04-05:00,0.125,2,concurrent,split_cap,-0.017584207752383674,1.0,1.0881362477263972
2026-01-14,META,DN,ATM,META260116P00627500,,open_lock,1s,616.3,627.5,2,2026-01-14 12:40:00-05:00,3,13.06,13.26,0.015313935681469992,T+30,2026-01-14 12:40:01-05:00,2026-01-14 13:10:00-05:00,0.25,1,concurrent,solo_full,-0.016913420535671575,4.0,-0.26692629710926785
2026-01-14,META,DN,ATM,META260116P00627500,,open_lock,1s,615.79,627.5,2,2026-01-14 13:33:00-05:00,4,13.25,12.0,-0.09433962264150941,T+30,2026-01-14 13:33:00-05:00,2026-01-14 14:03:02-05:00,0.25,1,concurrent,solo_full,-0.017616150000798525,3.0,2.3363913517895445
2026-01-15,NVDA,UP,ATM,NVDA260116C00187000,,open_lock,1s,187.985,187.0,1,2026-01-15 10:38:00-05:00,1,2.374,2.024,-0.1474304970513901,T+30,2026-01-15 10:38:00-05:00,2026-01-15 11:08:00-05:00,0.25,1,concurrent,solo_full,0.010409101912369989,2.0,1.5832437358347953
2026-01-15,AMD,UP,ATM,AMD260116C00227500,,open_lock,1s,236.2501,227.5,1,2026-01-15 10:56:00-05:00,1,9.45,9.700000000000001,0.02645502645502673,T+30,2026-01-15 10:56:00-05:00,2026-01-15 11:26:00-05:00,0.125,2,concurrent,split_cap,0.008069555394174088,4.0,0.848380060201713
2026-01-15,NVDA,UP,ATM,NVDA260116C00187000,,open_lock,1s,188.1437,187.0,1,2026-01-15 11:44:00-05:00,2,2.106,2.534,0.20322886989553646,T+30,2026-01-15 11:44:00-05:00,2026-01-15 12:14:00-05:00,0.25,1,concurrent,solo_full,0.010925522472363447,0.0,-0.9918149065110516
2026-01-15,AMD,UP,ATM,AMD260116C00227500,,open_lock,1s,236.97,227.5,1,2026-01-15 12:00:00-05:00,2,9.75,9.15,-0.06153846153846154,T+30,2026-01-15 12:00:00-05:00,2026-01-15 12:30:00-05:00,0.125,2,concurrent,split_cap,0.011345114177358173,0.0,-0.11161802141950812
2026-01-15,AMD,UP,ATM,AMD260116C00227500,,open_lock,1s,236.7316,227.5,1,2026-01-15 12:50:00-05:00,3,9.75,10.15,0.0410256410256411,T+30,2026-01-15 12:50:00-05:00,2026-01-15 13:20:04-05:00,0.25,1,concurrent,solo_full,0.009198741224885065,0.0,-1.2940633824046017
2026-01-15,NVDA,UP,ATM,NVDA260116C00187000,,open_lock,1s,188.2608,187.0,1,2026-01-15 13:00:00-05:00,3,2.326,2.906,0.24935511607910588,T+30,2026-01-15 13:00:00-05:00,2026-01-15 13:30:00-05:00,0.125,2,concurrent,split_cap,0.008795287662390239,0.0,-0.2403666733704836
2026-01-15,AMD,UP,ATM,AMD260116C00227500,,open_lock,1s,237.57,227.5,1,2026-01-15 13:27:00-05:00,4,10.41,8.58,-0.17579250720461093,T+30,2026-01-15 13:27:00-05:00,2026-01-15 13:57:00-05:00,0.125,2,concurrent,split_cap,0.01002178649237484,1.0,0.4069421725193026
2026-01-15,NVDA,UP,ATM,NVDA260116C00187000,,open_lock,1s,189.3699,187.0,1,2026-01-15 13:35:00-05:00,4,2.888,2.814,-0.025623268698060864,T+30,2026-01-15 13:35:00-05:00,2026-01-15 14:05:01-05:00,0.125,2,concurrent,split_cap,0.01063503590736703,0.0,0.1184906516329828
2026-01-16,AMD,UP,ATM,AMD260116C00235000,,open_lock,1s,233.1,235.0,0,2026-01-16 12:23:00-05:00,1,0.356,0.582,0.6348314606741572,TP,2026-01-16 12:23:00-05:00,2026-01-16 12:27:40-05:00,0.25,1,concurrent,solo_full,0.0001930315606601951,3.0,-0.07420655400231077
2026-01-21,AMD,UP,ATM,AMD260123C00235000,,open_lock,1s,247.9233,235.0,2,2026-01-21 10:30:00-05:00,1,13.35,16.27,0.21872659176029963,T+30,2026-01-21 10:30:00-05:00,2026-01-21 11:00:00-05:00,0.25,1,concurrent,solo_full,0.010015788434971418,8.0,-1.1425478720893087
2026-01-21,TSLA,UP,ATM,TSLA260123C00422500,,open_lock,1s,428.02,422.5,2,2026-01-21 10:37:00-05:00,1,9.13,9.02,-0.012048192771084487,T+30,2026-01-21 10:37:00-05:00,2026-01-21 11:07:00-05:00,0.125,2,concurrent,split_cap,0.011857772514966225,8.0,-1.0212153370683588
2026-01-21,AMD,UP,ATM,AMD260123C00235000,,open_lock,1s,251.8,235.0,2,2026-01-21 11:19:00-05:00,2,17.98,16.32,-0.0923248053392659,T+30,2026-01-21 11:19:01-05:00,2026-01-21 11:49:00-05:00,0.25,1,concurrent,solo_full,0.012581409117821352,9.0,1.000208246375212
2026-01-21,AMD,UP,ATM,AMD260123C00235000,,open_lock,1s,247.4401,235.0,2,2026-01-21 12:59:00-05:00,3,13.67,11.54,-0.15581565471836145,T+30,2026-01-21 12:59:01-05:00,2026-01-21 13:29:01-05:00,0.25,1,concurrent,solo_full,0.0043253733307018205,6.0,-1.4780822960811324
2026-01-22,META,UP,ATM,META260123C00630000,,open_lock,1s,635.58,630.0,1,2026-01-22 10:31:00-05:00,1,8.95,8.65,-0.03351955307262555,T+30,2026-01-22 10:31:00-05:00,2026-01-22 11:01:00-05:00,0.25,1,concurrent,solo_full,0.004366032591053504,4.0,-1.4210571724824128
2026-01-22,META,UP,ATM,META260123C00630000,,open_lock,1s,637.555,630.0,1,2026-01-22 11:15:00-05:00,2,9.61,10.99,0.1436004162330906,T+30,2026-01-22 11:15:00-05:00,2026-01-22 11:45:00-05:00,0.25,1,concurrent,solo_full,0.007612153476595385,2.0,-0.17809004276027426
2026-01-22,AMD,UP,ATM,AMD260123C00252500,,open_lock,1s,255.34,252.5,1,2026-01-22 11:49:00-05:00,1,4.73,4.67,-0.01268498942917562,T+30,2026-01-22 11:49:00-05:00,2026-01-22 12:19:00-05:00,0.25,1,concurrent,solo_full,0.008521067324547271,1.0,-0.22940947895049477
2026-01-22,META,UP,ATM,META260123C00630000,,open_lock,1s,640.455,630.0,1,2026-01-22 11:52:00-05:00,3,10.95,13.0,0.18721461187214627,T+30,2026-01-22 11:52:00-05:00,2026-01-22 12:22:00-05:00,0.125,2,concurrent,split_cap,0.00874829578653502,0.0,-0.7549160304059224
2026-01-22,META,UP,ATM,META260123C00630000,,open_lock,1s,643.405,630.0,1,2026-01-22 12:28:00-05:00,4,14.139999999999999,17.41,0.2312588401697313,T+30,2026-01-22 12:28:04-05:00,2026-01-22 12:58:00-05:00,0.25,1,concurrent,solo_full,0.007839381938583356,1.0,-1.0229684035785502
2026-01-22,AMD,UP,ATM,AMD260123C00252500,,open_lock,1s,255.0016,252.5,1,2026-01-22 12:29:00-05:00,2,4.92,4.78,-0.028455284552845517,T+30,2026-01-22 12:29:00-05:00,2026-01-22 12:59:00-05:00,0.125,2,concurrent,split_cap,0.008212685840420564,1.0,-2.836310220449901
2026-01-22,META,UP,ATM,META260123C00630000,,open_lock,1s,646.62,630.0,1,2026-01-22 13:28:00-05:00,5,17.48,15.21,-0.12986270022883295,T+30,2026-01-22 13:28:00-05:00,2026-01-22 13:58:00-05:00,0.25,1,concurrent,solo_full,0.009243329221580332,0.0,-0.20012887168834373
