date,symbol,dir,moneyness,ticker,day_lock_ticker,contract_source,quote_source,sig_spot,sig_strike,sig_dte,sig_ts,n_in_day,entry,exit,ret,reason,entry_ts,exit_ts,size_frac,n_concurrent,position_sizing,size_reason,regime_qqq_fp,regime_vix_rev,regime_vixy_z
2026-01-02,AMZN,DN,ATM,AMZN260102P00232500,,open_lock,1s,226.42,232.5,0,2026-01-02 10:52:00-05:00,1,5.89,7.0200000000000005,0.1918505942275044,MF_FLIP,2026-01-02 10:52:00-05:00,2026-01-02 11:08:00-05:00,0.15,1,concurrent,solo_full,-0.0091442763603522,5.0,1.2191360807848761
2026-01-02,MSFT,DN,ATM,MSFT260102P00485000,,open_lock,1s,474.64,485.0,0,2026-01-02 10:56:00-05:00,1,10.27,11.73,0.14216163583252195,MF_FLIP,2026-01-02 10:56:01-05:00,2026-01-02 11:06:14-05:00,0.075,2,concurrent,split_cap,-0.009176531303422109,5.0,0.8066015317766398
2026-01-02,MSFT,DN,ATM,MSFT260102P00485000,,open_lock,1s,472.3775,485.0,0,2026-01-02 12:48:00-05:00,2,12.41,12.53,0.00966962127316684,MF_FLIP,2026-01-02 12:48:00-05:00,2026-01-02 12:58:01-05:00,0.15,1,concurrent,solo_full,-0.013418056317130445,3.0,0.20555917728929546
2026-01-02,MSFT,DN,ATM,MSFT260102P00485000,,open_lock,1s,471.5315,485.0,0,2026-01-02 13:32:00-05:00,3,13.31,13.9,0.04432757325319314,MF_FLIP,2026-01-02 13:32:01-05:00,2026-01-02 13:44:00-05:00,0.15,1,concurrent,solo_full,-0.013950262877786002,3.0,0.3712570711005046
2026-01-02,MSFT,DN,ATM,MSFT260102P00485000,,open_lock,1s,470.325,485.0,0,2026-01-02 13:58:00-05:00,4,14.81,14.15,-0.044564483457123605,MF_FLIP,2026-01-02 13:58:04-05:00,2026-01-02 14:01:00-05:00,0.15,1,concurrent,solo_full,-0.015530755088217219,3.0,1.776205780802275
2026-01-07,MSFT,UP,ATM,MSFT260109C00480000,,open_lock,1s,488.54,480.0,2,2026-01-07 12:15:00-05:00,1,9.61,9.4,-0.02185223725286156,MF_FLIP,2026-01-07 12:15:04-05:00,2026-01-07 12:20:03-05:00,0.15,1,concurrent,solo_full,0.006287231141835159,0.0,-0.1704646303954792
2026-01-08,AMD,DN,ATM,AMD260109P00210000,,open_lock,1s,205.645,210.0,1,2026-01-08 10:40:00-05:00,1,5.26,5.04,-0.041825095057034134,MF_FLIP,2026-01-08 10:40:02-05:00,2026-01-08 10:47:01-05:00,0.15,1,concurrent,solo_full,-0.006065121943402807,2.0,-1.28343219116175
2026-01-08,NVDA,DN,ATM,NVDA260109P00190000,,open_lock,1s,185.18,190.0,1,2026-01-08 11:00:00-05:00,1,4.819999999999999,4.62,-0.04149377593360981,MF_FLIP,2026-01-08 11:00:00-05:00,2026-01-08 11:04:00-05:00,0.15,1,concurrent,solo_full,-0.005832772489824722,1.0,-1.695183503455676
2026-01-09,TSLA,UP,ATM,TSLA260109C00435000,,open_lock,1s,444.62,435.0,0,2026-01-09 11:56:00-05:00,1,9.16,8.74,-0.045851528384279416,MF_FLIP,2026-01-09 11:56:00-05:00,2026-01-09 11:59:00-05:00,0.15,1,concurrent,solo_full,0.009437003368631514,0.0,-2.3408387765018155
2026-01-14,TSLA,DN,ATM,TSLA260116P00442500,,open_lock,1s,437.515,442.5,2,2026-01-14 10:43:00-05:00,1,8.020000000000001,8.729999999999999,0.08852867830423894,MF_FLIP,2026-01-14 10:43:00-05:00,2026-01-14 10:58:00-05:00,0.15,1,concurrent,solo_full,-0.01326290067557856,6.0,1.1729861003136912
2026-01-14,META,DN,ATM,META260116P00627500,,open_lock,1s,618.2599,627.5,2,2026-01-14 10:50:00-05:00,1,11.899999999999999,11.3,-0.05042016806722671,MF_FLIP,2026-01-14 10:50:00-05:00,2026-01-14 10:59:00-05:00,0.075,2,concurrent,split_cap,-0.016003066455847814,4.0,0.9717114239353104
2026-01-14,TSLA,DN,ATM,TSLA260116P00442500,,open_lock,1s,436.1199,442.5,2,2026-01-14 11:45:00-05:00,2,9.22,10.33,0.12039045553145322,MF_FLIP,2026-01-14 11:45:00-05:00,2026-01-14 11:53:00-05:00,0.15,1,concurrent,solo_full,-0.015284365866513383,1.0,0.5124478253718064
2026-01-15,NVDA,UP,ATM,NVDA260116C00187000,,open_lock,1s,187.985,187.0,1,2026-01-15 10:38:00-05:00,1,2.374,2.084,-0.12215669755686609,MF_FLIP,2026-01-15 10:38:00-05:00,2026-01-15 10:41:00-05:00,0.15,1,concurrent,solo_full,0.010409101912369989,2.0,1.5832437358347953
2026-01-15,AMD,UP,ATM,AMD260116C00227500,,open_lock,1s,236.2501,227.5,1,2026-01-15 10:56:00-05:00,1,9.45,9.950000000000001,0.05291005291005302,MF_FLIP,2026-01-15 10:56:00-05:00,2026-01-15 11:09:01-05:00,0.15,1,concurrent,solo_full,0.008069555394174088,4.0,0.848380060201713
2026-01-15,AMD,UP,ATM,AMD260116C00227500,,open_lock,1s,237.915,227.5,1,2026-01-15 11:21:00-05:00,2,10.85,9.700000000000001,-0.10599078341013812,MF_FLIP,2026-01-15 11:21:01-05:00,2026-01-15 11:26:00-05:00,0.15,1,concurrent,solo_full,0.011103042039861233,0.0,-0.8867814157011757
2026-01-16,AMD,UP,ATM,AMD260116C00235000,,open_lock,1s,233.1,235.0,0,2026-01-16 12:23:00-05:00,1,0.356,0.582,0.6348314606741572,TP,2026-01-16 12:23:00-05:00,2026-01-16 12:27:40-05:00,0.15,1,concurrent,solo_full,0.0001930315606601951,3.0,-0.07420655400231077
2026-01-21,AMD,UP,ATM,AMD260123C00235000,,open_lock,1s,247.9233,235.0,2,2026-01-21 10:30:00-05:00,1,13.35,17.259999999999998,0.2928838951310859,MF_FLIP,2026-01-21 10:30:00-05:00,2026-01-21 10:43:00-05:00,0.15,1,concurrent,solo_full,0.010015788434971418,8.0,-1.1425478720893087
2026-01-21,TSLA,UP,ATM,TSLA260123C00422500,,open_lock,1s,428.02,422.5,2,2026-01-21 10:37:00-05:00,1,9.13,8.979999999999999,-0.016429353778751654,MF_FLIP,2026-01-21 10:37:00-05:00,2026-01-21 10:38:00-05:00,0.075,2,concurrent,split_cap,0.011857772514966225,8.0,-1.0212153370683588
2026-01-21,AMD,UP,ATM,AMD260123C00235000,,open_lock,1s,251.8,235.0,2,2026-01-21 11:19:00-05:00,2,17.98,17.7,-0.015572858731924377,MF_FLIP,2026-01-21 11:19:01-05:00,2026-01-21 11:22:00-05:00,0.15,1,concurrent,solo_full,0.012581409117821352,9.0,1.000208246375212
2026-01-22,META,UP,ATM,META260123C00630000,,open_lock,1s,635.58,630.0,1,2026-01-22 10:31:00-05:00,1,8.95,9.53,0.06480446927374306,MF_FLIP,2026-01-22 10:31:00-05:00,2026-01-22 10:54:00-05:00,0.15,1,concurrent,solo_full,0.004366032591053504,4.0,-1.4210571724824128
2026-01-22,META,UP,ATM,META260123C00630000,,open_lock,1s,637.555,630.0,1,2026-01-22 11:15:00-05:00,2,9.61,10.04,0.04474505723205002,MF_FLIP,2026-01-22 11:15:00-05:00,2026-01-22 11:30:01-05:00,0.15,1,concurrent,solo_full,0.007612153476595385,2.0,-0.17809004276027426
2026-01-22,META,UP,ATM,META260123C00630000,,open_lock,1s,639.35,630.0,1,2026-01-22 11:46:00-05:00,3,11.370000000000001,11.5,0.011433597185575906,MF_FLIP,2026-01-22 11:46:00-05:00,2026-01-22 11:55:01-05:00,0.15,1,concurrent,solo_full,0.008456144906836327,1.0,-0.021896848891280823
2026-01-22,AMD,UP,ATM,AMD260123C00252500,,open_lock,1s,255.34,252.5,1,2026-01-22 11:49:00-05:00,1,4.73,4.73,0.0,MF_FLIP,2026-01-22 11:49:00-05:00,2026-01-22 11:59:00-05:00,0.075,2,concurrent,split_cap,0.008521067324547271,1.0,-0.22940947895049477
2026-01-22,META,UP,ATM,META260123C00630000,,open_lock,1s,641.5,630.0,1,2026-01-22 12:08:00-05:00,4,12.82,12.850000000000001,0.00234009360374432,MF_FLIP,2026-01-22 12:08:00-05:00,2026-01-22 12:13:00-05:00,0.15,1,concurrent,solo_full,0.00861033564889957,1.0,0.11650956129370195
2026-01-22,META,UP,ATM,META260123C00630000,,open_lock,1s,643.0,630.0,1,2026-01-22 12:24:00-05:00,5,14.0,17.009999999999998,0.21499999999999986,MF_FLIP,2026-01-22 12:24:00-05:00,2026-01-22 12:50:03-05:00,0.15,1,concurrent,solo_full,0.008096150100629806,1.0,-0.8914891967431757
2026-01-23,MSFT,UP,ATM,MSFT260123C00452500,,open_lock,1s,464.84,452.5,0,2026-01-23 10:40:00-05:00,1,13.3,14.700000000000001,0.10526315789473695,MF_FLIP,2026-01-23 10:40:07-05:00,2026-01-23 11:01:01-05:00,0.15,1,concurrent,solo_full,0.004526563355778279,1.0,-1.9079645122349747
2026-01-23,AMZN,UP,ATM,AMZN260123C00235000,,open_lock,1s,239.325,235.0,0,2026-01-23 10:55:00-05:00,1,4.24,4.8,0.13207547169811318,MF_FLIP,2026-01-23 10:55:00-05:00,2026-01-23 11:07:00-05:00,0.075,2,concurrent,split_cap,0.006294983730146031,0.0,-1.5898634265262623
2026-01-23,MSFT,UP,ATM,MSFT260123C00452500,,open_lock,1s,468.9799,452.5,0,2026-01-23 11:17:00-05:00,2,16.4,14.98,-0.08658536585365839,MF_FLIP,2026-01-23 11:17:04-05:00,2026-01-23 11:22:00-05:00,0.15,1,concurrent,solo_full,0.00629852765875194,0.0,-0.9003199938300495
2026-01-23,AMZN,UP,ATM,AMZN260123C00235000,,open_lock,1s,239.13,235.0,0,2026-01-23 11:27:00-05:00,2,4.47,4.09,-0.08501118568232657,MF_FLIP,2026-01-23 11:27:01-05:00,2026-01-23 11:34:02-05:00,0.15,1,concurrent,solo_full,0.005501143722413948,0.0,-0.41679539542372473
2026-01-29,TSLA,DN,ATM,TSLA260130P00437500,,open_lock,1s,422.8,437.5,1,2026-01-29 10:30:00-05:00,1,16.330000000000002,21.27,0.3025107164727494,MF_FLIP,2026-01-29 10:30:00-05:00,2026-01-29 10:59:01-05:00,0.15,1,concurrent,solo_full,-0.015672148759025006,11.0,0.38288119523831304
2026-01-29,AMD,DN,ATM,AMD260130P00255000,,open_lock,1s,247.1,255.0,1,2026-01-29 10:33:00-05:00,1,8.7,12.32,0.4160919540229886,MF_FLIP,2026-01-29 10:33:00-05:00,2026-01-29 10:56:00-05:00,0.075,2,concurrent,split_cap,-0.01717300977929448,9.0,0.8419183863219979
2026-01-29,TSLA,DN,ATM,TSLA260130P00437500,,open_lock,1s,421.2496,437.5,1,2026-01-29 11:43:00-05:00,2,18.09,17.74,-0.019347705914870228,MF_FLIP,2026-01-29 11:43:00-05:00,2026-01-29 11:46:00-05:00,0.15,1,concurrent,solo_full,-0.01633568731535462,8.0,-1.3321535562869833
2026-01-29,AMD,DN,ATM,AMD260130P00255000,,open_lock,1s,247.6044,255.0,1,2026-01-29 12:53:00-05:00,2,8.16,7.94,-0.026960784313725505,MF_FLIP,2026-01-29 12:53:00-05:00,2026-01-29 13:03:00-05:00,0.15,1,concurrent,solo_full,-0.014582049702197564,4.0,1.3263076994358636
