date,symbol,dir,moneyness,ticker,day_lock_ticker,contract_source,quote_source,sig_spot,sig_strike,sig_dte,sig_ts,n_in_day,entry,exit,ret,reason,entry_ts,exit_ts,size_frac,n_concurrent,position_sizing,size_reason,regime_qqq_fp,regime_vix_rev,regime_vixy_z
2026-01-02,AMZN,DN,ATM,AMZN260102P00227500,,open_ladder,1s,226.42,227.5,0,2026-01-02 10:52:00-05:00,1,1.36,2.184,0.6058823529411765,TP,2026-01-02 10:52:00-05:00,2026-01-02 10:57:35-05:00,0.2,1,concurrent,solo_full,-0.0091442763603522,5.0,1.2191360807848761
2026-01-02,MSFT,DN,ATM,MSFT260102P00475000,,open_ladder,1s,474.64,475.0,0,2026-01-02 10:56:00-05:00,1,1.546,2.484,0.6067270375161706,TP,2026-01-02 10:56:00-05:00,2026-01-02 11:00:15-05:00,0.1,2,concurrent,split_cap,-0.009176531303422109,5.0,0.8066015317766398
2026-01-02,AMZN,DN,ATM,AMZN260102P00225000,,open_ladder,1s,225.595,225.0,0,2026-01-02 11:04:00-05:00,2,0.6839999999999999,0.726,0.06140350877192979,MF_FLIP,2026-01-02 11:04:00-05:00,2026-01-02 11:08:00-05:00,0.2,1,concurrent,solo_full,-0.012837467341869968,4.0,2.0612851307527387
2026-01-02,MSFT,DN,ATM,MSFT260102P00472500,,open_ladder,1s,472.3775,472.5,0,2026-01-02 12:48:00-05:00,2,0.8099999999999999,1.03,0.27160493827160503,MF_FLIP,2026-01-02 12:48:00-05:00,2026-01-02 12:58:00-05:00,0.2,1,concurrent,solo_full,-0.013418056317130445,3.0,0.20555917728929546
2026-01-02,MSFT,DN,ATM,MSFT260102P00472500,,open_ladder,1s,471.5315,472.5,0,2026-01-02 13:32:00-05:00,3,1.348,1.762,0.30712166172106814,MF_FLIP,2026-01-02 13:32:01-05:00,2026-01-02 13:44:01-05:00,0.2,1,concurrent,solo_full,-0.013950262877786002,3.0,0.3712570711005046
2026-01-02,MSFT,DN,ATM,MSFT260102P00472500,,open_ladder,1s,470.325,472.5,0,2026-01-02 13:58:00-05:00,4,2.472,1.958,-0.20792880258899682,MF_FLIP,2026-01-02 13:58:02-05:00,2026-01-02 14:01:00-05:00,0.2,1,concurrent,solo_full,-0.015530755088217219,3.0,1.776205780802275
2026-01-07,MSFT,UP,ATM,MSFT260109C00487500,,open_ladder,1s,488.54,487.5,2,2026-01-07 12:15:00-05:00,1,4.03,3.97,-0.01488833746898266,MF_FLIP,2026-01-07 12:15:04-05:00,2026-01-07 12:20:00-05:00,0.2,1,concurrent,solo_full,0.006287231141835159,0.0,-0.1704646303954792
2026-01-08,AMD,DN,ATM,AMD260109P00205000,,open_ladder,1s,205.645,205.0,1,2026-01-08 10:40:00-05:00,1,2.166,2.044,-0.05632502308402576,MF_FLIP,2026-01-08 10:40:00-05:00,2026-01-08 10:47:00-05:00,0.2,1,concurrent,solo_full,-0.006065121943402807,2.0,-1.28343219116175
2026-01-08,NVDA,DN,ATM,NVDA260109P00185000,,open_ladder,1s,185.18,185.0,1,2026-01-08 11:00:00-05:00,1,1.486,1.402,-0.05652759084791392,MF_FLIP,2026-01-08 11:00:00-05:00,2026-01-08 11:04:00-05:00,0.2,1,concurrent,solo_full,-0.005832772489824722,1.0,-1.695183503455676
2026-01-09,TSLA,UP,ATM,TSLA260109C00445000,,open_ladder,1s,444.62,445.0,0,2026-01-09 11:56:00-05:00,1,1.244,1.104,-0.11254019292604489,MF_FLIP,2026-01-09 11:56:00-05:00,2026-01-09 11:59:00-05:00,0.2,1,concurrent,solo_full,0.009437003368631514,0.0,-2.3408387765018155
