date,symbol,dir,moneyness,ticker,day_lock_ticker,contract_source,quote_source,sig_spot,sig_strike,sig_dte,sig_ts,n_in_day,entry,exit,ret,reason,entry_ts,exit_ts,regime_qqq_fp,regime_vix_rev,regime_vixy_z
2026-01-02,AMZN,DN,ATM,AMZN260102P00227500,,open_ladder,day_iv,226.42,227.5,0,2026-01-02 10:52:00-05:00,1,1.62972,1.6102800000000002,-0.011928429423459175,T+30,2026-01-02 11:29:00-05:00,2026-01-02 11:29:00-05:00,-0.0091442763603522,5.0,1.2191360807848761
2026-01-08,AMD,DN,ATM,AMD260109P00205000,,open_ladder,day_iv,205.645,205.0,1,2026-01-08 10:40:00-05:00,1,2.18302,2.62416,0.20207785544795742,T+30,2026-01-08 10:40:00-05:00,2026-01-08 11:10:00-05:00,-0.006065121943402807,2.0,-1.28343219116175
2026-01-08,NVDA,DN,ATM,NVDA260109P00185000,,open_ladder,day_iv,185.18,185.0,1,2026-01-08 11:00:00-05:00,1,1.6397799999999998,1.67986,0.0244423032358001,T+30,2026-01-08 11:00:00-05:00,2026-01-08 11:30:00-05:00,-0.005832772489824722,1.0,-1.695183503455676
2026-01-08,AMD,DN,ATM,AMD260109P00205000,,open_ladder,day_iv,204.1579,205.0,1,2026-01-08 11:15:00-05:00,2,2.85704,2.50488,-0.12326043737574555,T+30,2026-01-08 11:15:00-05:00,2026-01-08 11:45:00-05:00,-0.007771688619683914,1.0,-0.18912422469270787
2026-01-08,NVDA,DN,ATM,NVDA260109P00185000,,open_ladder,day_iv,184.7,185.0,1,2026-01-08 12:00:00-05:00,2,1.74038,1.9681199999999999,0.1308564796193934,T+30,2026-01-08 12:00:00-05:00,2026-01-08 12:30:00-05:00,-0.006633977502163213,2.0,-0.42901889562072093
2026-01-08,NVDA,DN,ATM,NVDA260109P00185000,,open_ladder,day_iv,184.11,185.0,1,2026-01-08 12:39:00-05:00,3,2.10254,1.9283599999999999,-0.08284265697679949,T+30,2026-01-08 12:39:00-05:00,2026-01-08 13:09:00-05:00,-0.006425664198955183,0.0,-1.0642147207584207
2026-01-14,TSLA,DN,ATM,TSLA260116P00437500,,open_ladder,day_iv,437.515,437.5,2,2026-01-14 10:43:00-05:00,1,5.90522,5.854659999999999,-0.008561916406162773,T+30,2026-01-14 10:43:00-05:00,2026-01-14 11:13:00-05:00,-0.01326290067557856,6.0,1.1729861003136912
2026-01-14,META,DN,ATM,META260116P00622500,,open_ladder,day_iv,618.2599,622.5,2,2026-01-14 10:50:00-05:00,1,8.5007,6.62004,-0.22123589822014655,T+30,2026-01-14 10:50:00-05:00,2026-01-14 11:21:00-05:00,-0.016003066455847814,4.0,0.9717114239353104
2026-01-15,NVDA,UP,ATM,NVDA260116C00188000,,open_ladder,day_iv,187.985,188.0,1,2026-01-15 10:38:00-05:00,1,1.57942,1.55064,-0.018221878917577317,T+30,2026-01-15 10:38:00-05:00,2026-01-15 11:08:00-05:00,0.010409101912369989,2.0,1.5832437358347953
2026-01-15,AMD,UP,ATM,AMD260116C00232500,,open_ladder,day_iv,236.2501,232.5,1,2026-01-15 10:56:00-05:00,1,5.5833,5.54652,-0.0065875020149374075,T+30,2026-01-15 10:56:00-05:00,2026-01-15 11:26:00-05:00,0.008069555394174088,4.0,0.848380060201713
