date,symbol,dir,moneyness,ticker,contract_source,quote_source,sig_spot,sig_strike,sig_dte,sig_ts,n_in_day,entry,exit,ret,reason,entry_ts,exit_ts,size_frac,n_concurrent,position_sizing,size_reason,source
2026-05-01,TSLA,UP,ATM,TSLA260501C00390000,open_ladder,1s,390.18,390.0,0,2026-05-01 10:56:00-04:00,1,2.102,3.42,0.6270218839200763,TP,2026-05-01 10:56:00-04:00,2026-05-01 11:06:06-04:00,0.2,1,concurrent,solo_full,stream
2026-05-01,TSLA,UP,ATM,TSLA260501C00395000,open_ladder,1s,395.16,395.0,0,2026-05-01 11:41:00-04:00,2,2.44,2.262,-0.07295081967213113,MF_FLIP,2026-05-01 11:41:00-04:00,2026-05-01 11:42:00-04:00,0.2,1,concurrent,solo_full,stream
2026-05-01,AAPL,UP,ATM,AAPL260501C00285000,open_ladder,1s,284.79,285.0,0,2026-05-01 11:42:00-04:00,1,0.866,0.918,0.06004618937644346,MF_FLIP,2026-05-01 11:42:00-04:00,2026-05-01 11:58:01-04:00,0.2,1,concurrent,solo_full,stream
2026-05-04,AMZN,UP,ATM,AMZN260504C00275000,open_ladder,1s,274.545,275.0,0,2026-05-04 10:38:00-04:00,1,0.736,1.186,0.6114130434782608,TP,2026-05-04 10:38:00-04:00,2026-05-04 10:39:12-04:00,0.2,1,concurrent,solo_full,stream
2026-05-04,AMZN,UP,ATM,AMZN260504C00275000,open_ladder,1s,275.785,275.0,0,2026-05-04 10:48:00-04:00,2,1.802,1.778,-0.013318534961154316,MF_FLIP,2026-05-04 10:48:00-04:00,2026-05-04 10:50:00-04:00,0.2,1,concurrent,solo_full,stream
2026-05-05,AAPL,UP,ATM,AAPL260506C00282500,open_ladder,1s,282.43,282.5,1,2026-05-05 13:04:00-04:00,1,1.922,1.706,-0.11238293444328828,MF_FLIP,2026-05-05 13:04:00-04:00,2026-05-05 13:08:00-04:00,0.2,1,concurrent,solo_full,stream
2026-05-06,NVDA,UP,ATM,NVDA260506C00205000,open_ladder,1s,205.27,205.0,0,2026-05-06 10:40:00-04:00,1,1.184,1.336,0.1283783783783785,MF_FLIP,2026-05-06 10:40:00-04:00,2026-05-06 10:56:01-04:00,0.2,1,concurrent,solo_full,stream
2026-05-06,AMD,UP,ATM,AMD260508C00417500,open_ladder,1s,416.93,417.5,2,2026-05-06 11:22:00-04:00,1,10.649999999999999,10.0,-0.06103286384976514,MF_FLIP,2026-05-06 11:22:00-04:00,2026-05-06 11:38:01-04:00,0.2,1,concurrent,solo_full,stream
2026-05-06,NVDA,UP,ATM,NVDA260506C00207500,open_ladder,1s,206.29,207.5,0,2026-05-06 11:24:00-04:00,2,0.548,0.902,0.6459854014598538,TP,2026-05-06 11:24:00-04:00,2026-05-06 11:34:55-04:00,0.1,2,concurrent,split_cap,stream
2026-05-07,TSLA,UP,ATM,TSLA260508C00412500,open_ladder,1s,411.92,412.5,1,2026-05-07 10:36:00-04:00,1,5.18,5.22,0.007722007722007707,MF_FLIP,2026-05-07 10:36:00-04:00,2026-05-07 10:54:00-04:00,0.2,1,concurrent,solo_full,stream
