date,symbol,dir,moneyness,ticker,contract_source,quote_source,sig_spot,sig_strike,sig_dte,sig_ts,n_in_day,entry,exit,ret,reason,entry_ts,exit_ts,source
2026-05-01,AAPL,UP,ATM,AAPL260501C00280000,open_lock,day_iv,284.79,280.0,0,2026-05-01 11:42:00-04:00,1,2.13272,2.1072800000000003,-0.011928429423459064,T+30,2026-05-01 13:44:00-04:00,2026-05-01 13:44:00-04:00,stream
2026-05-04,AMZN,UP,ATM,AMZN260504C00270000,open_lock,day_iv,274.545,270.0,0,2026-05-04 10:38:00-04:00,1,1.4083999999999999,1.3916,-0.011928429423459175,T+30,2026-05-04 14:21:00-04:00,2026-05-04 14:21:00-04:00,stream
2026-05-05,AAPL,UP,ATM,AAPL260506C00277500,open_lock,day_iv,282.43,277.5,1,2026-05-05 13:04:00-04:00,1,5.382099999999999,5.486879999999999,0.019468237305141134,T+30,2026-05-05 13:05:00-04:00,2026-05-05 13:34:00-04:00,stream
2026-05-05,AAPL,UP,ATM,AAPL260506C00277500,open_lock,day_iv,282.8501,277.5,1,2026-05-05 13:53:00-04:00,2,5.72414,6.9083000000000006,0.20687125052846378,T+30,2026-05-05 13:55:00-04:00,2026-05-05 14:24:00-04:00,stream
2026-05-06,AMD,UP,ATM,AMD260508C00410000,open_lock,day_iv,416.93,410.0,2,2026-05-06 11:22:00-04:00,1,15.09,12.921999999999999,-0.14367130550033147,T+30,2026-05-06 11:22:00-04:00,2026-05-06 11:52:00-04:00,stream
2026-05-07,TSLA,UP,ATM,TSLA260508C00407500,open_lock,day_iv,411.92,407.5,1,2026-05-07 10:36:00-04:00,1,8.027880000000001,6.19262,-0.22861079139199902,T+30,2026-05-07 10:36:00-04:00,2026-05-07 11:06:00-04:00,stream
2026-05-07,MSFT,UP,ATM,MSFT260508C00420000,open_lock,day_iv,425.02,420.0,1,2026-05-07 10:51:00-04:00,1,6.81062,7.1071,0.043532013238148703,T+30,2026-05-07 10:51:00-04:00,2026-05-07 11:21:00-04:00,stream
2026-05-07,MSFT,UP,ATM,MSFT260508C00420000,open_lock,day_iv,426.36,420.0,1,2026-05-07 11:55:00-04:00,2,7.5953,5.9143,-0.22132108014166652,T+30,2026-05-07 11:55:00-04:00,2026-05-07 12:25:00-04:00,stream
2026-05-08,AAPL,UP,ATM,AAPL260508C00290000,open_lock,day_iv,293.92,290.0,0,2026-05-08 10:30:00-04:00,1,2.38422,2.35578,-0.011928429423459175,T+30,2026-05-08 12:37:00-04:00,2026-05-08 12:37:00-04:00,stream
2026-05-12,TSLA,DN,ATM,TSLA260513P00442500,open_lock,day_iv,431.56,442.5,1,2026-05-12 10:57:00-04:00,1,13.882800000000001,17.345299999999998,0.24940934105511836,T+30,2026-05-12 10:57:00-04:00,2026-05-12 11:28:00-04:00,stream
2026-05-12,TSLA,DN,ATM,TSLA260513P00442500,open_lock,day_iv,426.14,442.5,1,2026-05-12 11:55:00-04:00,2,18.41986,18.0908,-0.017864413736043527,T+30,2026-05-12 11:55:00-04:00,2026-05-12 12:29:00-04:00,stream
2026-05-13,NVDA,UP,ATM,NVDA260513C00225000,open_lock,day_iv,225.48,225.0,0,2026-05-13 10:51:00-04:00,1,2.1226599999999998,2.09734,-0.011928429423459175,T+30,2026-05-13 14:55:00-04:00,2026-05-13 14:55:00-04:00,stream
2026-05-14,NVDA,UP,ATM,NVDA260515C00230000,open_lock,day_iv,235.15,230.0,1,2026-05-14 10:40:00-04:00,1,6.3881,6.073340000000001,-0.04927286673658815,T+30,2026-05-14 10:40:00-04:00,2026-05-14 11:10:00-04:00,stream
