name,total_ret,maxdd,n_trades,n_regime_block,n_day_halt,streaks2,streaks3,jul7_9,trade_win,trade_exp
stable_base,14.713161337173776,-0.2243583480314143,261,521,0,15,6,-0.060549112964472185,0.5210727969348659,0.09340177655766584
vix_rev6,5.953959487285158,-0.2893934898269347,238,838,0,14,6,-0.06986944994543776,0.5252100840336135,0.07397512871292156
vix_rev8,8.350572244066845,-0.3731240372684419,258,614,0,13,5,-0.02312670794978411,0.5155038759689923,0.0780680980876739
mf10_align,9.803180338094597,-0.21222205371395253,242,730,0,12,4,-0.04762995269305548,0.5082644628099173,0.08781628631942208
day_halt2,6.488324688845598,-0.30788355216507934,214,483,16,16,0,-0.02495457155255343,0.5093457943925234,0.08422512380249779
day_halt3,11.300561049351149,-0.21207028646114834,244,446,6,15,6,-0.060549112964472074,0.5204918032786885,0.09122716079263135
mf10+halt2,4.285286956606491,-0.25160942864162306,203,669,13,13,0,-0.04762995269305548,0.4876847290640394,0.07479964670009984
vix6+halt2,4.141476248695201,-0.4115458319627351,191,765,15,15,0,-0.03462804367365291,0.5235602094240838,0.07725239753021887
mf10+vix6,4.63124868490831,-0.29621075565516664,222,1049,0,13,5,-0.07154228544164332,0.509009009009009,0.07132356987012708
mf10+vix6+halt2,3.0552000627730784,-0.41458459241012424,178,963,14,14,0,-0.0346280436736528,0.5,0.07198051179146145
