date,symbol,dir,moneyness,ticker,day_lock_ticker,contract_source,quote_source,sig_spot,sig_strike,sig_dte,sig_ts,n_in_day,entry,exit,ret,reason,entry_ts,exit_ts,regime_qqq_fp,regime_vix_rev,regime_vixy_z
2026-01-02,MSFT,DN,ATM,MSFT260102P00477500,MSFT260102P00472500,signal_atm,day_iv,474.64,477.5,0.0,2026-01-02 10:56:00-05:00,1,3.8227999999999995,5.3179,0.3911007638380246,T+30,2026-01-02 10:57:00-05:00,2026-01-02 13:16:00-05:00,-0.009176531303422109,5.0,0.8066015317766398
2026-01-02,MSFT,DN,ATM,MSFT260102P00472500,MSFT260102P00472500,signal_atm,day_iv,471.5315,472.5,0.0,2026-01-02 13:32:00-05:00,2,1.47882,2.3756600000000003,0.6064564991006345,TP,2026-01-02 13:32:00-05:00,2026-01-02 13:52:00-05:00,-0.013950262877786002,3.0,0.3712570711005046
2026-01-02,MSFT,DN,ATM,MSFT260102P00470000,MSFT260102P00472500,signal_atm,day_iv,470.325,470.0,0.0,2026-01-02 13:58:00-05:00,3,0.68408,0.2485,-0.6367383931703894,SL,2026-01-02 13:58:00-05:00,2026-01-02 14:08:00-05:00,-0.015530755088217219,3.0,1.776205780802275
2026-01-08,AMD,DN,ATM,AMD260109P00205000,AMD260109P00205000,signal_atm,day_iv,205.645,205.0,1.0,2026-01-08 10:40:00-05:00,1,2.18302,2.62416,0.20207785544795742,T+30,2026-01-08 10:40:00-05:00,2026-01-08 11:10:00-05:00,-0.006065121943402807,2.0,-1.28343219116175
2026-01-08,NVDA,DN,ATM,NVDA260109P00185000,NVDA260109P00185000,signal_atm,day_iv,185.18,185.0,1.0,2026-01-08 11:00:00-05:00,1,1.6397799999999998,1.67986,0.0244423032358001,T+30,2026-01-08 11:00:00-05:00,2026-01-08 11:30:00-05:00,-0.005832772489824722,1.0,-1.695183503455676
2026-01-08,AMD,DN,ATM,AMD260109P00205000,AMD260109P00205000,signal_atm,day_iv,204.1579,205.0,1.0,2026-01-08 11:15:00-05:00,2,2.85704,2.50488,-0.12326043737574555,T+30,2026-01-08 11:15:00-05:00,2026-01-08 11:45:00-05:00,-0.007771688619683914,1.0,-0.18912422469270787
2026-01-08,NVDA,DN,ATM,NVDA260109P00185000,NVDA260109P00185000,signal_atm,day_iv,184.7,185.0,1.0,2026-01-08 12:00:00-05:00,2,1.74038,1.9681199999999999,0.1308564796193934,T+30,2026-01-08 12:00:00-05:00,2026-01-08 12:30:00-05:00,-0.006633977502163213,2.0,-0.42901889562072093
2026-01-08,NVDA,DN,ATM,NVDA260109P00185000,NVDA260109P00185000,signal_atm,day_iv,184.11,185.0,1.0,2026-01-08 12:39:00-05:00,3,2.10254,1.9283599999999999,-0.08284265697679949,T+30,2026-01-08 12:39:00-05:00,2026-01-08 13:09:00-05:00,-0.006425664198955183,0.0,-1.0642147207584207
2026-01-09,TSLA,UP,ATM,TSLA260109C00445000,TSLA260109C00445000,day_lock_fallback,day_iv,444.62,,,2026-01-09 11:56:00-05:00,1,2.95764,2.92236,-0.011928429423459286,T+30,2026-01-09 13:00:00-05:00,2026-01-09 13:00:00-05:00,0.009437003368631514,0.0,-2.3408387765018155
2026-01-14,TSLA,DN,ATM,TSLA260116P00437500,TSLA260116P00437500,signal_atm,day_iv,437.515,437.5,2.0,2026-01-14 10:43:00-05:00,1,5.90522,5.854659999999999,-0.008561916406162773,T+30,2026-01-14 10:43:00-05:00,2026-01-14 11:13:00-05:00,-0.01326290067557856,6.0,1.1729861003136912
