date,symbol,dir,sig_ts,spot,rank
2026-05-01,TSLA,UP,2026-05-01 10:56:00-04:00,390.18,1
2026-05-01,AAPL,UP,2026-05-01 11:42:00-04:00,284.79,2
2026-05-04,AMZN,UP,2026-05-04 10:38:00-04:00,274.545,1
2026-05-04,AMD,DN,2026-05-04 10:59:00-04:00,346.85,2
2026-05-05,AAPL,UP,2026-05-05 13:04:00-04:00,282.43,1
2026-05-06,NVDA,UP,2026-05-06 10:40:00-04:00,205.27,1
2026-05-06,AMD,UP,2026-05-06 11:22:00-04:00,416.93,2
2026-05-07,TSLA,UP,2026-05-07 10:36:00-04:00,411.92,1
2026-05-07,MSFT,UP,2026-05-07 10:51:00-04:00,425.02,2
2026-05-08,AAPL,UP,2026-05-08 10:30:00-04:00,293.92,1
2026-05-08,TSLA,UP,2026-05-08 10:50:00-04:00,426.3201,2
2026-05-11,TSLA,DN,2026-05-11 10:32:00-04:00,417.17,1
2026-05-11,NVDA,UP,2026-05-11 10:46:00-04:00,219.67,2
2026-05-12,AMD,DN,2026-05-12 10:32:00-04:00,444.195,1
2026-05-12,TSLA,DN,2026-05-12 10:57:00-04:00,431.56,2
2026-05-13,TSLA,UP,2026-05-13 10:30:00-04:00,443.8,1
2026-05-13,NVDA,UP,2026-05-13 10:51:00-04:00,225.48,2
2026-05-14,NVDA,UP,2026-05-14 10:40:00-04:00,235.15,1
2026-05-15,TSLA,DN,2026-05-15 10:30:00-04:00,426.8771,1
2026-05-15,MSFT,UP,2026-05-15 10:38:00-04:00,422.785,2
2026-05-18,TSLA,DN,2026-05-18 10:30:00-04:00,413.365,1
2026-05-18,AMD,DN,2026-05-18 10:33:00-04:00,414.03,2
2026-05-19,AMZN,DN,2026-05-19 11:15:00-04:00,256.93,1
2026-05-19,TSLA,DN,2026-05-19 11:26:00-04:00,397.56,2
2026-05-20,AMD,UP,2026-05-20 10:30:00-04:00,445.21,1
2026-05-20,NVDA,UP,2026-05-20 11:15:00-04:00,225.61,2
2026-05-21,NVDA,DN,2026-05-21 10:34:00-04:00,218.2775,1
2026-05-21,AMD,DN,2026-05-21 11:06:00-04:00,434.4,2
2026-05-22,AMD,UP,2026-05-22 10:30:00-04:00,468.7,1
2026-05-22,TSLA,UP,2026-05-22 10:38:00-04:00,426.77,2
2026-05-26,AMD,UP,2026-05-26 10:30:00-04:00,494.1298,1
2026-05-27,AMD,DN,2026-05-27 10:30:00-04:00,488.7301,1
2026-05-27,NVDA,DN,2026-05-27 10:41:00-04:00,209.915,2
2026-05-28,AMD,UP,2026-05-28 10:39:00-04:00,511.0,1
2026-05-28,MSFT,UP,2026-05-28 11:00:00-04:00,425.09,2
2026-05-29,TSLA,DN,2026-05-29 10:32:00-04:00,429.65,1
2026-05-29,MSFT,UP,2026-05-29 10:34:00-04:00,441.445,2
2026-06-01,META,DN,2026-06-01 10:30:00-04:00,610.26,1
2026-06-01,AMZN,DN,2026-06-01 10:33:00-04:00,263.785,2
2026-06-02,MSFT,DN,2026-06-02 11:16:00-04:00,442.56,1
2026-06-02,AAPL,UP,2026-06-02 11:21:00-04:00,312.63,2
2026-06-03,MSFT,DN,2026-06-03 10:30:00-04:00,430.68,1
2026-06-03,AMD,UP,2026-06-03 10:30:00-04:00,536.11,2
2026-06-04,META,UP,2026-06-04 10:32:00-04:00,637.71,1
2026-06-04,AMZN,UP,2026-06-04 11:27:00-04:00,255.805,2
2026-06-05,TSLA,DN,2026-06-05 10:30:00-04:00,407.625,1
2026-06-05,NVDA,DN,2026-06-05 10:33:00-04:00,211.4901,2
2026-06-08,TSLA,UP,2026-06-08 10:30:00-04:00,403.31,1
2026-06-08,AMD,UP,2026-06-08 10:36:00-04:00,489.84,2
2026-06-09,AMD,DN,2026-06-09 10:49:00-04:00,474.45,1
2026-06-09,TSLA,DN,2026-06-09 11:12:00-04:00,400.535,2
2026-06-10,TSLA,DN,2026-06-10 10:49:00-04:00,386.8999,1
2026-06-10,NVDA,DN,2026-06-10 10:58:00-04:00,203.955,2
2026-06-11,MSFT,DN,2026-06-11 10:51:00-04:00,388.57,1
2026-06-11,META,DN,2026-06-11 10:56:00-04:00,558.83,2
2026-06-12,AMZN,DN,2026-06-12 10:33:00-04:00,236.365,1
2026-06-12,AMD,UP,2026-06-12 11:31:00-04:00,514.42,2
2026-06-15,NVDA,UP,2026-06-15 10:33:00-04:00,209.985,1
2026-06-15,AMD,UP,2026-06-15 10:35:00-04:00,548.88,2
2026-06-16,AMD,DN,2026-06-16 10:30:00-04:00,526.81,1
2026-06-16,TSLA,DN,2026-06-16 10:31:00-04:00,402.075,2
2026-06-17,META,DN,2026-06-17 10:32:00-04:00,584.13,1
2026-06-17,AMZN,DN,2026-06-17 10:36:00-04:00,240.94,2
2026-06-18,TSLA,DN,2026-06-18 10:32:00-04:00,384.99,1
2026-06-18,NVDA,UP,2026-06-18 10:58:00-04:00,209.57,2
2026-06-22,AMZN,DN,2026-06-22 10:31:00-04:00,235.19,1
2026-06-22,TSLA,UP,2026-06-22 11:08:00-04:00,410.09,2
2026-06-23,MSFT,UP,2026-06-23 10:30:00-04:00,375.87,1
2026-06-23,TSLA,DN,2026-06-23 10:53:00-04:00,385.9991,2
2026-06-24,AMZN,UP,2026-06-24 10:50:00-04:00,239.98,1
2026-06-24,AMD,DN,2026-06-24 13:23:00-04:00,509.42,2
2026-06-25,MSFT,DN,2026-06-25 10:45:00-04:00,357.45,1
2026-06-25,AAPL,DN,2026-06-25 11:05:00-04:00,277.21,2
2026-06-26,AMD,DN,2026-06-26 10:37:00-04:00,518.14,1
2026-06-26,MSFT,UP,2026-06-26 10:53:00-04:00,368.97,2
2026-06-29,TSLA,UP,2026-06-29 10:30:00-04:00,395.9401,1
2026-06-29,META,UP,2026-06-29 10:39:00-04:00,568.395,2
2026-06-30,AMD,UP,2026-06-30 10:43:00-04:00,557.71,1
2026-06-30,AAPL,UP,2026-06-30 11:18:00-04:00,287.55,2
2026-07-01,META,UP,2026-07-01 10:32:00-04:00,615.49,1
2026-07-01,MSFT,UP,2026-07-01 10:42:00-04:00,384.0901,2
2026-07-02,TSLA,DN,2026-07-02 10:30:00-04:00,402.37,1
2026-07-02,AMD,DN,2026-07-02 10:30:00-04:00,528.28,2
2026-07-06,AMD,UP,2026-07-06 10:43:00-04:00,568.155,1
2026-07-06,TSLA,UP,2026-07-06 11:01:00-04:00,409.19,2
2026-07-07,NVDA,DN,2026-07-07 10:35:00-04:00,191.3,1
2026-07-07,AMD,DN,2026-07-07 10:46:00-04:00,505.5,2
2026-07-08,META,DN,2026-07-08 10:41:00-04:00,601.67,1
2026-07-08,TSLA,DN,2026-07-08 10:43:00-04:00,393.84,2
2026-07-09,AMD,UP,2026-07-09 10:33:00-04:00,557.46,1
2026-07-09,META,UP,2026-07-09 12:21:00-04:00,615.27,2
2026-07-10,META,UP,2026-07-10 10:31:00-04:00,669.11,1
2026-07-10,NVDA,UP,2026-07-10 10:33:00-04:00,206.875,2
2026-07-13,NVDA,DN,2026-07-13 12:06:00-04:00,205.89,1
2026-07-13,TSLA,DN,2026-07-13 12:10:00-04:00,395.635,2
