date,symbol,dir,moneyness,ticker,sig_ts,n_in_day,entry,exit,ret,reason,entry_ts,exit_ts
2026-05-01,TSLA,UP,ATM,TSLA260501C00392500,2026-05-01 10:56:00-04:00,1,1.216,1.966,0.6167763157894737,TP,2026-05-01 10:56:00-04:00,2026-05-01 11:06:04-04:00
2026-05-01,AAPL,UP,ATM,AAPL260501C00280000,2026-05-01 11:42:00-04:00,1,4.890000000000001,4.04,-0.17382413087934567,T+30,2026-05-01 11:42:03-04:00,2026-05-01 12:12:00-04:00
2026-05-04,AMZN,UP,ATM,AMZN260504C00270000,2026-05-04 10:38:00-04:00,1,3.97,4.930000000000001,0.24181360201511337,T+30,2026-05-04 10:38:00-04:00,2026-05-04 11:08:00-04:00
2026-05-05,AAPL,UP,ATM,AAPL260506C00282500,2026-05-05 13:04:00-04:00,1,1.922,3.12,0.6233090530697192,TP,2026-05-05 13:04:00-04:00,2026-05-05 13:20:13-04:00
2026-05-06,NVDA,UP,ATM,NVDA260506C00207500,2026-05-06 10:40:00-04:00,1,0.408,0.242,-0.4068627450980392,T+30,2026-05-06 10:40:00-04:00,2026-05-06 11:10:00-04:00
2026-05-06,AMD,UP,ATM,AMD260508C00420000,2026-05-06 11:22:00-04:00,1,9.67,8.370000000000001,-0.13443640124095124,T+30,2026-05-06 11:22:00-04:00,2026-05-06 11:52:00-04:00
2026-05-07,TSLA,UP,ATM,TSLA260508C00415000,2026-05-07 10:36:00-04:00,1,4.09,3.02,-0.26161369193154027,T+30,2026-05-07 10:36:00-04:00,2026-05-07 11:06:00-04:00
2026-05-07,MSFT,UP,ATM,MSFT260508C00425000,2026-05-07 10:51:00-04:00,1,3.62,4.22,0.16574585635359096,T+30,2026-05-07 10:51:00-04:00,2026-05-07 11:21:01-04:00
2026-05-08,AAPL,UP,ATM,AAPL260508C00292500,2026-05-08 10:30:00-04:00,1,1.85,1.586,-0.1427027027027027,T+30,2026-05-08 10:30:00-04:00,2026-05-08 11:00:01-04:00
2026-05-08,TSLA,UP,ATM,TSLA260508C00425000,2026-05-08 10:50:00-04:00,1,3.24,5.22,0.6111111111111109,TP,2026-05-08 10:50:00-04:00,2026-05-08 10:57:02-04:00
2026-05-11,TSLA,DN,ATM,TSLA260511P00445000,2026-05-11 10:32:00-04:00,1,27.95,21.48,-0.23148479427549196,T+30,2026-05-11 10:32:00-04:00,2026-05-11 11:02:04-04:00
2026-05-11,NVDA,UP,ATM,NVDA260511C00220000,2026-05-11 10:46:00-04:00,1,0.946,1.516,0.6025369978858353,TP,2026-05-11 10:46:00-04:00,2026-05-11 10:50:52-04:00
2026-05-12,TSLA,DN,ATM,TSLA260513P00432500,2026-05-12 10:57:00-04:00,1,6.92,9.77,0.4118497109826589,T+30,2026-05-12 10:57:00-04:00,2026-05-12 11:27:00-04:00
2026-05-13,TSLA,UP,ATM,TSLA260513C00445000,2026-05-13 10:30:00-04:00,1,2.532,4.17,0.6469194312796207,TP,2026-05-13 10:30:00-04:00,2026-05-13 10:35:11-04:00
2026-05-13,NVDA,UP,ATM,NVDA260513C00227500,2026-05-13 10:51:00-04:00,1,0.618,0.992,0.6051779935275081,TP,2026-05-13 10:51:01-04:00,2026-05-13 11:02:40-04:00
2026-05-14,NVDA,UP,ATM,NVDA260515C00235000,2026-05-14 10:40:00-04:00,1,3.13,2.904,-0.07220447284345044,T+30,2026-05-14 10:40:00-04:00,2026-05-14 11:10:00-04:00
2026-05-15,TSLA,DN,ATM,TSLA260515P00422500,2026-05-15 10:30:00-04:00,1,1.422,1.406,-0.011251758087201136,T+30,2026-05-15 10:30:00-04:00,2026-05-15 11:00:00-04:00
2026-05-15,MSFT,UP,ATM,MSFT260515C00422500,2026-05-15 10:38:00-04:00,1,1.936,3.12,0.6115702479338845,TP,2026-05-15 10:38:01-04:00,2026-05-15 10:44:54-04:00
2026-05-18,TSLA,DN,ATM,TSLA260518P00410000,2026-05-18 10:30:00-04:00,1,1.144,1.852,0.6188811188811192,TP,2026-05-18 10:30:00-04:00,2026-05-18 10:33:45-04:00
2026-05-19,AMZN,DN,ATM,AMZN260520P00257500,2026-05-19 11:15:00-04:00,1,2.268,2.77,0.2213403880070548,T+30,2026-05-19 11:15:00-04:00,2026-05-19 11:45:02-04:00
2026-05-19,TSLA,DN,ATM,TSLA260520P00397500,2026-05-19 11:26:00-04:00,1,5.38,5.32,-0.011152416356877248,T+30,2026-05-19 11:26:00-04:00,2026-05-19 11:56:03-04:00
2026-05-20,AMD,UP,ATM,AMD260522C00445000,2026-05-20 10:30:00-04:00,1,12.84,12.35,-0.03816199376947038,T+30,2026-05-20 10:30:00-04:00,2026-05-20 11:00:00-04:00
2026-05-20,NVDA,UP,ATM,NVDA260522C00225000,2026-05-20 11:15:00-04:00,1,6.79,6.66,-0.019145802650957222,T+30,2026-05-20 11:15:00-04:00,2026-05-20 11:45:00-04:00
2026-05-21,NVDA,DN,ATM,NVDA260522P00220000,2026-05-21 10:34:00-04:00,1,4.13,3.0020000000000002,-0.2731234866828086,T+30,2026-05-21 10:34:00-04:00,2026-05-21 11:04:00-04:00
2026-05-21,AMD,DN,ATM,AMD260522P00437500,2026-05-21 11:06:00-04:00,1,8.33,6.58,-0.2100840336134454,T+30,2026-05-21 11:06:04-04:00,2026-05-21 11:36:01-04:00
2026-05-22,AMD,UP,ATM,AMD260522C00467500,2026-05-22 10:30:00-04:00,1,5.18,3.66,-0.2934362934362934,T+30,2026-05-22 10:30:00-04:00,2026-05-22 11:00:00-04:00
2026-05-22,TSLA,UP,ATM,TSLA260522C00425000,2026-05-22 10:38:00-04:00,1,4.38,5.79,0.32191780821917804,T+30,2026-05-22 10:38:00-04:00,2026-05-22 11:08:01-04:00
2026-05-27,AMD,DN,ATM,AMD260529P00502500,2026-05-27 10:30:00-04:00,1,22.03,18.71,-0.15070358601906486,T+30,2026-05-27 10:30:00-04:00,2026-05-27 11:00:04-04:00
2026-05-27,NVDA,DN,ATM,NVDA260527P00212500,2026-05-27 10:41:00-04:00,1,2.962,3.04,0.026333558406482105,T+30,2026-05-27 10:41:02-04:00,2026-05-27 11:11:00-04:00
2026-05-28,AMD,UP,ATM,AMD260529C00510000,2026-05-28 10:39:00-04:00,1,11.23,13.65,0.2154942119323242,T+30,2026-05-28 10:39:00-04:00,2026-05-28 11:09:03-04:00
2026-05-28,MSFT,UP,ATM,MSFT260529C00425000,2026-05-28 11:00:00-04:00,1,3.47,3.5999999999999996,0.037463976945244726,T+30,2026-05-28 11:00:07-04:00,2026-05-28 11:30:01-04:00
2026-05-29,TSLA,DN,ATM,TSLA260529P00435000,2026-05-29 10:32:00-04:00,1,5.72,4.24,-0.25874125874125864,T+30,2026-05-29 10:32:00-04:00,2026-05-29 11:02:00-04:00
2026-05-29,MSFT,UP,ATM,MSFT260529C00450000,2026-05-29 10:34:00-04:00,1,0.228,0.374,0.6403508771929824,TP,2026-05-29 10:34:00-04:00,2026-05-29 10:37:34-04:00
2026-06-01,META,DN,ATM,META260601P00600000,2026-06-01 10:30:00-04:00,1,0.636,0.246,-0.6132075471698113,SL,2026-06-01 10:30:05-04:00,2026-06-01 10:40:35-04:00
2026-06-01,AMZN,DN,ATM,AMZN260601P00262500,2026-06-01 10:33:00-04:00,1,0.484,0.776,0.6033057851239669,TP,2026-06-01 10:33:00-04:00,2026-06-01 10:38:48-04:00
2026-06-02,MSFT,DN,ATM,MSFT260603P00445000,2026-06-02 11:16:00-04:00,1,7.16,6.37,-0.11033519553072624,T+30,2026-06-02 11:16:01-04:00,2026-06-02 11:46:01-04:00
2026-06-02,AAPL,UP,ATM,AAPL260603C00310000,2026-06-02 11:21:00-04:00,1,3.39,3.76,0.10914454277286123,T+30,2026-06-02 11:21:02-04:00,2026-06-02 11:51:04-04:00
2026-06-03,MSFT,DN,ATM,MSFT260603P00427500,2026-06-03 10:30:00-04:00,1,0.79,1.278,0.6177215189873417,TP,2026-06-03 10:30:03-04:00,2026-06-03 10:35:30-04:00
