date,month,day_return_pct,n_trades,legs,trade_returns_pct
2026-04-13,4,-4.4922,2,PUT|PUT,-1.30|-16.73
2026-04-14,4,-5.1693,1,PUT,-20.68
2026-04-15,4,17.4609,4,CALL|CALL|CALL|CALL,+28.83|+19.34|-0.81|+18.89
2026-04-16,4,2.048,4,CALL|PUT|PUT|CALL,+18.12|+19.12|-12.86|-14.93
2026-04-17,4,3.249,4,CALL|CALL|CALL|PUT,+9.07|+33.18|-13.75|-13.81
2026-04-20,4,12.9854,2,PUT|PUT,+11.66|+39.14
2026-04-21,4,17.8043,2,PUT|PUT,+47.64|+21.07
2026-04-22,4,4.0089,4,CALL|CALL|CALL|CALL,+20.78|-12.48|-2.88|+11.18
2026-04-23,4,14.0569,3,PUT|PUT|PUT,+11.15|+10.10|+32.92
2026-04-24,4,0.4388,4,CALL|CALL|PUT|PUT,+24.34|-1.92|-12.15|-7.55
2026-04-27,4,0.5293,2,CALL|CALL,+0.17|+1.94
2026-04-28,4,3.6369,2,PUT|CALL,+1.19|+13.32
2026-04-29,4,-7.619,4,CALL|CALL|CALL|CALL,+2.31|-12.73|-7.83|-12.94
2026-04-30,4,12.599,4,CALL|CALL|CALL|CALL,-7.61|+8.56|+31.24|+16.95
2026-05-01,5,2.2625,4,CALL|CALL|CALL|CALL,+21.53|-14.46|+2.02|+0.69
2026-05-04,5,17.8273,2,PUT|PUT,+68.37|+2.51
2026-05-05,5,4.6513,2,PUT|CALL,+4.24|+14.21
2026-05-06,5,-5.0259,1,CALL,-20.10
2026-05-07,5,17.3092,4,CALL|PUT|PUT|PUT,+42.23|-5.11|+47.07|-15.35
2026-05-08,5,7.6237,4,CALL|CALL|CALL|CALL,+12.86|+1.59|-3.92|+19.55
2026-05-11,5,0.6238,2,PUT|PUT,+9.73|-7.06
2026-05-12,5,17.4252,2,PUT|PUT,+36.79|+30.13
2026-05-13,5,-3.7249,1,PUT,-14.90
2026-05-14,5,-3.6469,1,CALL,-14.59
2026-05-15,5,6.3175,4,CALL|CALL|CALL|CALL,-12.44|-2.42|+10.71|+30.07
2026-05-18,5,6.3676,1,PUT,+25.47
2026-05-19,5,5.2027,2,CALL|PUT,+12.45|+8.10
2026-05-20,5,5.0969,1,CALL,+20.39
2026-05-21,5,-5.6616,1,CALL,-22.65
2026-05-26,5,-0.823,2,CALL|CALL,-5.59|+2.33
2026-05-28,5,10.7287,1,CALL,+42.91
2026-05-29,5,-2.2766,2,CALL|CALL,+3.86|-12.85
2026-06-01,6,6.1236,4,CALL|CALL|CALL|CALL,+0.94|+10.78|+2.41|+9.92
2026-06-02,6,7.7667,4,CALL|CALL|CALL|CALL,+10.49|+31.91|+2.43|-13.33
2026-06-04,6,16.3366,4,CALL|CALL|CALL|CALL,+54.61|-16.55|+19.53|+7.24
2026-06-05,6,6.389,1,PUT,+25.56
2026-06-09,6,12.2867,1,PUT,+49.15
2026-06-10,6,1.259,2,PUT|PUT,+23.73|-17.65
2026-06-11,6,-6.5331,2,CALL|CALL,-13.32|-13.25
2026-06-12,6,8.0397,4,CALL|CALL|CALL|CALL,+0.45|+14.51|+9.99|+6.41
2026-06-15,6,-1.3687,3,CALL|CALL|CALL,-2.40|-2.87|-0.22
2026-06-16,6,3.7978,2,PUT|PUT,+21.49|-5.98
2026-06-17,6,0.4003,1,PUT,+1.60
2026-06-22,6,10.1837,1,PUT,+40.73
2026-06-23,6,-3.4909,3,CALL|CALL|CALL,-2.77|+1.68|-12.90
2026-06-24,6,-3.6732,2,PUT|PUT,-1.98|-12.78
2026-06-26,6,5.3779,4,CALL|CALL|CALL|CALL,+12.48|+12.97|+3.20|-7.22
2026-06-30,6,9.4493,4,CALL|CALL|CALL|CALL,+7.54|+2.81|+18.33|+8.01
